,County,State,Longitude,Latitude,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Annual Waste Acceptance Rate (tons per year),Designed Volume (acres^3),Current Volume Current (acres^3),Percent Available,Years until Fill,Years to Planned Closure,Difference in Years to fill and planned closure
398,Tulare,CA,-119.39194,36.39222,2127.0,Open,247.0,147.0,,,13975392.0,7464496.0,379816.0,,,,17.14,104.0,-86.86
399,Mono,CA,-119.4548,38.5545,2162.0,Open,25.0,,,,,50000.0,50.0,,,,,139.0,
402,Shasta,CA,-122.53498,40.48156,2033.0,Open,120.0,87.8,130.0,80.0,6810601.0,5309134.0,169730.0,0.35812608,0.1612485632,0.5497435897435898,8.85,10.0,-1.1500000000000004
405,San Diego,CA,-117.162,32.856,2025.0,Open,1388.0,477.0,50.0,50.0,52665014.0,46493471.0,911129.0,1.59320192,0.54751968,0.6563400576368876,6.77,2.0,4.77
407,Placer,CA,-121.34472,38.83583,2058.0,Open,231.0,156.9,,,24104176.0,8556927.0,258206.0,,,,60.21,35.0,25.21
408,Lassen,CA,-121.02272,40.318,2027.0,Open,40.0,,,,,50000.0,2160.0,,,,,4.0,
411,Yolo,CA,-121.69222,38.59028,2100.0,Open,473.0,190.0,60.0,,61456096.0,8931778.0,196568.0,0.651513984,,,267.21,77.0,190.20999999999998
415,Santa Clara,CA,-121.95713,37.43325,,Open,70.0,,,,,1000000.0,13362.0,,,,,,
416,Archuleta,CO,-107.0525,37.156395,,Open,,,,,,,6500.0,,,,,,
417,La Plata,CO,-107.863825,37.054875,2029.0,Open,47.2,,,,3223710.0,1956990.0,78971.0,,,,16.04,6.0,10.04
419,Montrose,CO,-108.518126,38.158012,2114.0,Open,,,,,3835598.0,454401.0,28141.0,,,,120.15,91.0,29.150000000000006
420,Pueblo,CO,-104.485279,38.138888,,Open,283.0,,,,,393114.0,46624.0,,,,,,
421,Weld,CO,-104.53,40.19,2061.0,Open,700.0,,,,,,,,,,,38.0,
423,El Paso,CO,-104.58,38.843,2083.0,Open,362.0,155.5,,74.0,30632927.0,11205542.0,328766.0,,0.2641638976,,59.09,60.0,-0.9099999999999966
426,Arapahoe,CO,-104.69,39.66,2140.0,Open,1363.0,677.0,,159.0,396050824.0,75671381.0,2202265.0,,2.4711388224,,145.48,117.0,28.47999999999999
429,Eagle,CO,-106.661,39.725,2041.0,Open,,81.1,,,5142142.0,3090070.0,95011.0,,,,21.6,18.0,3.6000000000000014
430,Adams,CO,-104.489113,39.842346,2035.0,Open,142.0,,,,6663790.0,2825202.0,252106.0,,,,15.23,12.0,3.2300000000000004
431,Jefferson,CO,-105.226,39.849,2047.0,Open,229.0,177.0,,105.0,36701610.0,23750644.0,446768.0,,0.426652128,,28.99,24.0,4.989999999999998
432,El Paso,CO,-104.628676,38.68181,2079.0,Open,320.0,104.0,,,18458855.0,7061461.0,411978.0,,,,27.67,56.0,-28.33
433,Weld,CO,-105.012673,40.020405,2048.0,Open,326.0,78.3,,,39434597.0,20788471.0,1747317.0,,,,10.67,25.0,-14.33
435,Larimer,CO,-105.122846,40.505078,2023.0,Open,,180.8,,,,8778239.0,300876.0,,,,,0.0,
437,Mesa,CO,-108.492,39.012,2050.0,Open,,127.0,,,9796656.0,4892671.0,163564.0,,,,29.98,27.0,2.9800000000000004
438,El Paso,CO,-104.657819,38.5475,2094.0,Open,238.0,74.6,,,32061487.0,7988264.0,343666.0,,,,70.05,71.0,-0.9500000000000028
439,Routt,CO,-107.03937,40.469085,2062.0,Open,,51.7,,60.0,4329871.0,2714938.0,51984.0,,0.0712119936,,31.07,39.0,-7.93
440,Montrose,CO,-107.818073,38.52717,2063.0,Open,,37.2,,,4164757.0,3482040.0,58186.0,,,,11.73,40.0,-28.27
441,Morgan,CO,-103.7351,40.3143,,Open,,,,,,915183.0,25648.0,,,,,,
442,Weld,CO,-104.83177,40.58217,2061.0,Open,170.0,91.1,,,38477652.0,12339591.0,671510.0,,,,38.92,38.0,0.9200000000000017
443,Fremont,CO,-105.116272,38.468739,,Open,38.0,,,45.0,,180000.0,60000.0,,,,,,
444,Pitkin,CO,-106.9175,39.285,2042.0,Open,225.0,,200.0,,2792931.0,2465911.0,76824.0,1.033056,,,4.26,19.0,-14.74
446,Garfield,CO,-107.42,39.551,,Open,,,,,,1798154.0,78168.0,,,,,,
447,Pueblo,CO,-104.708434,38.22127,2043.0,Open,114.0,,,,6299082.0,3529430.0,294498.0,,,,9.4,20.0,-10.6
448,Summit,CO,-105.997,39.608,2057.0,Open,80.0,63.3,,,4239496.0,2501980.0,62858.0,,,,27.64,34.0,-6.359999999999999
450,Adams,CO,-104.77187,39.85052,2042.0,Open,339.0,229.3,,143.0,71934041.0,47906617.0,1525492.0,,0.75275117632,,15.75,19.0,-3.25
451,Garfield,CO,-107.905,39.517,2041.0,Open,,,,,,,,,,,,18.0,
463,Hartford,CT,-72.5604,41.7684,2025.0,Open,,66.0,,,,5480598.0,178355.0,,,,,2.0,
477,New Castle,DE,-75.52,39.7308,2060.0,Open,250.0,221.6,80.0,,25746677.0,17163541.0,443534.0,0.459136,,,19.35,37.0,-17.65
478,Sussex,DE,-75.439,38.596,2029.0,Open,,124.2,95.0,,8427896.0,7440240.0,328376.0,,,,3.01,6.0,-2.99
480,Kent,DE,-75.7251,39.0327,2036.0,Open,,149.0,100.0,,9183825.0,6712738.0,263962.0,,,,9.36,13.0,-3.6400000000000006
482,Sumter,FL,-82.091653,28.743151,2035.0,Open,59.0,,,,19337669.0,4768717.0,966109.0,,,,15.08,12.0,3.08
483,Madison,FL,-83.60833,30.45833,2025.0,Open,,27.9,94.0,,2130965.0,1404792.0,62905.0,,,,11.54,2.0,9.54
487,Brevard,FL,-80.8296,28.3971,2023.0,Open,,198.0,200.0,110.0,,23294713.0,1040739.0,,0.499999104,,,0.0,
488,Pinellas,FL,-82.6757,27.867647,2096.0,Open,,497.0,,,30005135.0,8227668.0,244690.0,,,,89.0,73.0,16.0
489,Broward,FL,-80.42495,26.03785,2028.0,Open,,43.0,,,3031875.0,2429515.0,92008.0,,,,6.55,5.0,1.5499999999999998
491,Polk,FL,-81.884525,27.89808,2033.0,Open,,108.6,,,20810215.0,11665795.0,999338.0,,,,9.15,10.0,-0.8499999999999996
492,Sarasota,FL,-82.390646,27.201577,2042.0,Open,295.0,89.3,,,28665000.0,6666727.0,330572.0,,,,66.55,19.0,47.55
493,Citrus,FL,-82.43651,28.85198,2027.0,Open,,92.5,180.0,125.0,4021808.0,3715171.0,117164.0,,0.265438,,2.62,4.0,-1.38
494,Collier,FL,-81.6585,26.1634,2069.0,Open,183.0,144.1,,63.0,24146931.0,9062279.0,316472.0,,0.20840871743999997,,47.67,46.0,1.6700000000000017
501,Hernando,FL,-82.486788,28.66735,2028.0,Open,,45.5,,,4793670.0,3108525.0,154824.0,,,,10.88,5.0,5.880000000000001
502,Highlands,FL,-81.3155,27.5106,2096.0,Open,147.0,35.0,,30.0,,1000000.0,100000.0,,0.02410464,,,73.0,
505,Indian River,FL,-80.485,27.578,2068.0,Open,276.0,63.0,185.0,90.0,11613892.0,5957182.0,212801.0,1.172174208,0.130165056,0.8889541715628673,26.58,45.0,-18.42
506,Osceola,FL,-81.098,28.064,2056.0,Open,,100.0,,,83003742.0,26645967.0,1416360.0,,,,39.79,33.0,6.789999999999999
508,Lake,FL,-81.735811,28.75558,2025.0,Open,,96.0,,,2701619.0,2613089.0,5861.0,,,,15.1,2.0,13.1
511,Hendry,FL,-81.5204,26.55979,2035.0,Open,,58.3,80.0,50.0,6703144.0,4881984.0,355308.0,,0.066919072,,5.13,12.0,-6.87
512,Manatee,FL,-82.443497,27.470055,2041.0,Open,,198.0,,100.0,20947500.0,11332655.0,321621.0,,0.45454464,,29.89,18.0,11.89
517,Miami-Dade,FL,-80.3508,25.8586,2030.0,Open,,144.7,100.0,,44706083.0,34180600.0,1494511.0,,,,7.04,7.0,0.040000000000000036
518,Broward,FL,-80.161,26.283,2031.0,Open,366.0,314.2,,137.0,84293492.0,75539323.0,1598301.0,,0.9881846387200001,,5.48,8.0,-2.5199999999999996
519,Union,FL,-82.2052,30.0932,2025.0,Open,102.2,77.3,,,6058444.0,6001579.0,303036.0,,,,0.19,2.0,-1.81
520,St. Johns,FL,-81.4023,30.0087,,Open,,,,,,,,,,,,,
521,Polk,FL,-81.847245,28.02389,2023.0,Open,,268.7,150.0,125.0,24587053.0,19631287.0,564314.0,,0.7710615200000001,,8.78,0.0,8.78
522,Miami-Dade,FL,-80.2862,25.9679,2025.0,Open,180.0,179.9,126.0,,,14577466.0,241516.0,0.520660224,,,,2.0,
523,Okeechobee,FL,-80.6966,27.34104,2094.0,Open,,187.6,220.0,,241553464.0,35335026.0,1512154.0,,,,136.37,71.0,65.37
524,Orange,FL,-81.2083,28.481,2088.0,Open,,717.4,65.0,,64559937.0,34920051.0,1016598.0,,,,29.16,65.0,-35.84
525,Seminole,FL,-81.0882,28.79278,2056.0,Open,240.0,181.2,250.0,100.0,33638378.0,11697446.0,361430.0,1.377408,0.415977216,0.698,60.71,33.0,27.71
526,Palm Beach,FL,-80.137436,26.763,2054.0,Open,,206.5,100.0,,50951726.0,19523851.0,711491.0,,,,44.17,31.0,13.170000000000002
527,Pasco,FL,-82.560119,28.369724,2031.0,Open,,19.4,,,652479.0,322826.0,922.0,,,,357.54,8.0,349.54
528,Escambia,FL,-87.3897,30.57654,2042.0,Open,557.0,116.6,60.0,,18346266.0,12008198.0,325609.0,0.767216256,,,19.47,19.0,0.46999999999999886
530,Putnam,FL,-81.6655,29.7196,,Open,80.0,,60.0,,,3212717.0,202304.0,0.11019264,,,,,
535,Santa Rosa,FL,-87.0664,30.5785,2055.0,Open,,128.0,20.0,,,4718717.0,378602.0,,,,,32.0,
537,Miami-Dade,FL,-80.3477,25.5445,2036.0,Open,110.0,50.0,140.0,,21184000.0,20350369.0,529481.0,0.35353472,,,1.57,13.0,-11.43
539,Hillsborough,FL,-82.187501,27.77639,2030.0,Open,,196.7,160.0,60.0,202694557.0,10616175.0,450024.0,,0.2709361536,,426.82,7.0,419.82
541,Jackson,FL,-85.42854,30.92104,2069.0,Open,229.0,128.7,200.0,131.0,52837321.0,16591001.0,820614.0,1.05142144,0.38704476095999996,0.6318842794759825,44.17,46.0,-1.8299999999999983
542,St. Lucie,FL,-80.395557,27.390834,2067.0,Open,132.9,130.6,125.0,,21617968.0,8175105.0,265308.0,0.38136984,,,50.67,44.0,6.670000000000002
543,Bay,FL,-85.917,30.36226,2050.0,Open,,,,,,,,,,,,27.0,
549,Volusia,FL,-81.0806,29.1285,2029.0,Open,,292.0,,204.0,18214658.0,15875049.0,597461.0,,1.3674906624,,3.92,6.0,-2.08
551,Duval,FL,-82.0447,30.2246,2081.0,Open,,148.0,155.0,135.0,89656690.0,23151702.0,955435.0,,0.458676864,,69.61,58.0,11.61
553,Columbia,FL,-82.703986,30.2563,2026.0,Open,,49.2,,,2105671.0,1692258.0,55642.0,,,,7.43,3.0,4.43
555,Charlotte,FL,-81.960278,26.794446,2036.0,Open,160.0,108.0,130.0,75.0,6601129.0,5179684.0,174453.0,0.47750144,0.18595008,0.6105769230769231,8.15,13.0,-4.85
556,Clarke,GA,-83.2627,33.929,2064.0,Open,150.0,141.5,,,4977568.0,3433713.0,89945.0,,,,17.16,41.0,-23.84
557,Atkinson,GA,-82.964286,31.319415,2070.0,Open,,37.1,,,2832219.0,1253107.0,93725.0,,,,16.85,47.0,-30.15
559,Bartow,GA,-84.7648,34.1438,2050.0,Open,300.0,61.2,,75.0,10967150.0,1997023.0,43459.0,,0.105371712,,206.4,27.0,179.4
561,Wayne,GA,-81.9411,31.4708,2164.0,Open,,81.5,,,64334141.0,14025277.0,395470.0,,,,127.21,141.0,-13.790000000000006
563,Camden,GA,-81.854516,30.85909,2033.0,Open,53.0,34.5,,,3184719.0,2359752.0,117576.0,,,,7.02,10.0,-2.9800000000000004
567,Lamar,GA,-84.208563,33.085973,2066.0,Open,,37.1,,,5529420.0,1682648.0,96630.0,,,,39.81,43.0,-3.1899999999999977
570,Charlton,GA,-82.0811,30.7079,2061.0,Open,250.0,82.0,,200.0,77840654.0,20027180.0,1397634.0,,0.37649152,,41.37,38.0,3.3699999999999974
572,Troup,GA,-84.9532,33.0463,2070.0,Open,86.0,64.5,164.0,71.0,10170221.0,3020943.0,18639.0,0.3237827072,0.1051306656,0.6753048780487805,383.57,47.0,336.57
573,Thomas,GA,-83.91265,30.805802,2085.0,Open,,164.2,,,6812419.0,3739751.0,113696.0,,,,27.03,62.0,-34.97
574,Tift,GA,-83.536981,31.357773,2028.0,Open,,62.8,,,1792201.0,1704813.0,57039.0,,,,1.53,5.0,-3.4699999999999998
575,Clayton,GA,-84.307,33.44,2089.0,Open,134.0,87.7,90.0,60.0,3406177.0,2680096.0,20374.0,0.276859008,0.1207986816,0.5636815920398011,35.64,66.0,-30.36
576,Muscogee,GA,-84.850799,32.483999,2065.0,Open,91.5,43.3,100.0,50.0,48956389.0,1717138.0,79512.0,0.21005472,0.049701472000000003,0.7633879781420765,594.11,42.0,552.11
579,Crisp,GA,-83.749031,31.866967,2104.0,Open,,31.1,,,8556515.0,1924293.0,60216.0,,,,110.14,81.0,29.14
580,Richmond,GA,-82.14324,33.35257,2151.0,Open,560.0,153.3,50.0,50.0,38226218.0,10091908.0,449848.0,0.6427904,0.17596387200000002,0.72625,62.54,128.0,-65.46000000000001
581,Decatur,GA,-84.405,30.71,2044.0,Open,,16.1,,,4737860.0,1426278.0,74847.0,,,,44.24,21.0,23.240000000000002
582,Dougherty,GA,-84.028353,31.532784,2050.0,Open,,112.3,,50.0,8916325.0,4733508.0,79509.0,,0.128902432,,52.61,27.0,25.61
584,Forsyth,GA,-84.240833,34.325556,2033.0,Open,163.0,81.5,,,33782096.0,19482925.0,846857.0,,,,16.88,10.0,6.879999999999999
585,Lowndes,GA,-83.3625,30.808,2081.0,Open,,85.9,,100.0,30231984.0,13362868.0,341753.0,,0.197198912,,49.36,58.0,-8.64
588,Liberty,GA,-81.643534,31.887204,2046.0,Open,,61.8,,,1985042.0,683334.0,6305.0,,,,206.46,23.0,183.46
590,Gordon,GA,-84.765811,34.510557,2043.0,Open,162.6,49.0,,,16992239.0,5034371.0,344957.0,,,,34.66,20.0,14.659999999999997
591,Polk,GA,-85.167,33.9968,2038.0,Open,,56.0,,,18442581.0,8832114.0,762426.0,,,,12.61,15.0,-2.3900000000000006
593,Habersham,GA,-83.45889,34.555381,2043.0,Open,,,,,930358.0,724370.0,28372.0,,,,7.26,20.0,-12.74
595,Hall,GA,-83.800764,34.242574,2030.0,Open,94.2,39.7,,,3977682.0,2044513.0,173548.0,,,,11.14,7.0,4.140000000000001
599,Jefferson,GA,-82.4164,33.1018,,Open,,,,,,89919.0,14640.0,,,,,,
601,Laurens,GA,-83.049101,32.585913,2110.0,Open,,,,,3711403.0,777934.0,37212.0,,,,78.83,87.0,-8.170000000000002
607,Murray,GA,-84.73063,34.68076,2100.0,Open,,70.4,,,11774580.0,1552743.0,1.0,,,,10221837.0,77.0,10221760.0
608,Newton,GA,-83.895508,33.551581,2067.0,Open,,36.3,,,,1947156.0,106146.0,,,,,44.0,
609,Barrow,GA,-83.7728,33.9659,2029.0,Open,253.0,,,120.0,27546098.0,22870055.0,534251.0,,,,8.75,6.0,2.75
610,Whitfield,GA,-84.945,34.6516,2036.0,Open,,210.1,137.0,80.0,12981809.0,6781334.0,263816.0,,0.3858578944,,23.5,13.0,10.5
612,Cherokee,GA,-84.387,34.273,2060.0,Open,,134.3,,,81571211.0,25666353.0,1407085.0,,,,39.73,37.0,2.729999999999997
613,Butts,GA,-84.118684,33.240017,2039.0,Open,,148.0,,,37266389.0,24656558.0,1087818.0,,,,11.59,16.0,-4.41
615,Banks,GA,-83.42719,34.35184,2038.0,Open,,110.6,,,34472200.0,18424842.0,843028.0,,,,19.04,15.0,4.039999999999999
616,Gwinnett,GA,-84.0353,34.127,2029.0,Open,,173.0,75.0,,23232703.0,20997053.0,1083503.0,,,,2.06,6.0,-3.94
618,Chatham,GA,-81.22,32.078,2056.0,Open,,101.0,,,4932691.0,4449515.0,88835.0,,,,5.44,33.0,-27.56
619,DeKalb,GA,-84.2525,33.6552,2074.0,Open,348.0,175.0,91.0,56.0,53773364.0,15125364.0,611030.0,0.7269959424,0.22497664,0.6905393457117595,63.25,51.0,12.25
621,Houston,GA,-83.55573,32.399561,2227.0,Open,200.0,120.6,60.0,,21780180.0,3907519.0,162981.0,0.2754816,,,109.66,204.0,-94.34
622,Chatham,GA,-81.28,32.025,2031.0,Open,,114.0,80.0,54.0,21498516.0,11774325.0,684495.0,,0.1413220608,,14.21,8.0,6.210000000000001
624,Toombs,GA,-82.388566,32.146467,,Open,,,,,,,55158.0,,,,,,
625,Meriwether,GA,-84.848925,33.163696,2056.0,Open,,35.4,,,28973656.0,5669553.0,700556.0,,,,33.27,33.0,0.2700000000000031
627,Gordon,GA,-83.329,32.954,2066.0,Open,,,,,,,20112.0,,,,,43.0,
628,Floyd,GA,-85.214799,34.19,2035.0,Open,,36.1,,,3364575.0,2223356.0,113080.0,,,,10.09,12.0,-1.9100000000000001
630,Taylor,GA,-84.371526,32.462263,2047.0,Open,577.0,142.0,120.0,,51117057.0,17939946.0,359246.0,1.589528832,,,92.35,24.0,68.35
632,Twiggs,GA,-83.437873,32.770535,2058.0,Open,88.0,48.3,,,11160054.0,7397122.0,447590.0,,,,8.41,35.0,-26.59
633,,GU,144.649457,13.429707,2063.0,Open,,22.0,,,13902379.0,978873.0,100164.0,,,,129.02,40.0,89.02000000000001
635,Maui,HI,-156.419,20.86,2039.0,Open,,72.0,,,8304912.0,6238137.0,292873.0,,,,7.06,16.0,-8.940000000000001
636,Maui,HI,-155.98859,20.76778,2079.0,Open,,34.0,,35.0,300000.0,124500.0,,,0.027318592,,,56.0,
639,Honolulu,HI,-157.731,21.448,2024.0,Open,,,,,,,,,,,,1.0,
642,Kauai,HI,-159.73029,22.03452,2027.0,Open,71.4,38.0,120.0,92.0,3528000.0,3026126.0,88487.0,0.1966938624,0.0802569728,0.591970121381886,5.67,4.0,1.67
643,Maui,HI,-156.967,20.794,2029.0,Open,,20.0,,65.0,350000.0,182910.0,4000.0,,0.02984384,,41.77,6.0,35.77
644,Maui,HI,-157.062,21.118,,Open,,,,50.0,121000.0,90800.0,6570.0,,,,4.6,,
648,Honolulu,HI,-158.11279,21.344,2039.0,Open,,115.8,,100.0,21826964.0,12913357.0,266418.0,,0.265839744,,33.46,16.0,17.46
649,Hawaii,HI,-155.880297,19.889013,2050.0,Open,150.0,58.2,,,9129661.0,3199926.0,199858.0,,,,29.67,27.0,2.6700000000000017
650,Benton,IA,-92.096757,41.875716,,Open,,,,,992250.0,,11566.0,,,,,,
651,Black Hawk,IA,-92.32758,42.414,2054.0,Open,160.0,135.4,30.0,,9118438.0,6517590.0,182506.0,0.11019264,,,14.25,31.0,-16.75
652,Boone,IA,-93.9194,42.02985,2038.0,Open,53.7,,55.0,,2733098.0,2193043.0,91900.0,0.0678029088,,,5.88,15.0,-9.120000000000001
653,Carroll,IA,-94.90601,42.07127,2034.0,Open,40.0,,,,2506144.0,1570583.0,80965.0,,,,11.56,11.0,0.5600000000000005
654,Cass,IA,-94.92788,41.37859,,Open,,,,,719777.0,,8720.0,,,,,,
656,Linn,IA,-91.55547,42.09371,2038.0,Open,75.0,62.4,35.0,,9761535.0,4474729.0,282660.0,0.0602616,,,18.7,15.0,3.6999999999999993
657,Winnebago,IA,-93.572,43.382,2153.0,Open,,87.2,30.0,,41288026.0,6491155.0,197145.0,,,,176.5,130.0,46.5
658,Cherokee,IA,-95.524642,42.734733,2147.0,Open,,,,,,,26777.0,,,,,124.0,
659,Clinton,IA,-90.25866,41.85905,2032.0,Open,160.0,79.4,50.0,,2548490.0,2092505.0,53217.0,0.1836544,,,8.57,9.0,-0.4299999999999997
660,Des Moines,IA,-91.196,40.849,2099.0,Open,,62.0,40.0,,7199101.0,2989244.0,58064.0,,,,72.5,76.0,-3.5
661,Dickinson,IA,-95.07733,43.37178,2169.0,Open,78.0,43.8,,59.0,6408814.0,1963226.0,26991.0,,0.05932496256,,164.71,146.0,18.710000000000008
662,Dubuque,IA,-90.77686,42.45501,2053.0,Open,75.0,71.1,70.0,,7136650.0,4223369.0,158750.0,0.1205232,,,18.35,30.0,-11.649999999999999
664,Mitchell,IA,-92.560748,43.236747,,Open,,,,,2199488.0,,23663.0,,,,,,
665,Fremont,IA,-95.64234,40.690489,,Open,,,,,289645.0,,5301.0,,,,,,
666,Lee,IA,-91.3095,40.656,2030.0,Open,127.0,44.5,,,2726803.0,2138631.0,76316.0,,,,7.71,7.0,0.71
667,Harrison,IA,-95.76831,41.640812,,Open,,,,,987603.0,,15386.0,,,,,,
668,Johnson,IA,-91.624,41.645,2044.0,Open,140.0,137.4,,100.0,8584061.0,4827498.0,145117.0,,0.315426432,,25.89,21.0,4.890000000000001
669,Iowa,IA,-91.833059,41.764875,,Open,,,,,465035.0,,10261.0,,,,,,
670,Cerro Gordo,IA,-93.3003,43.126,2044.0,Open,,93.1,,,6508168.0,3490315.0,91628.0,,,,32.94,21.0,11.939999999999998
671,Mills,IA,-95.639,41.022,2056.0,Open,52.0,41.6,200.0,200.0,15877375.0,4849617.0,721789.0,0.23875072,0.191000576,0.19999999999999996,15.28,33.0,-17.72
672,Mahaska,IA,-92.647692,41.224726,,Open,,,,,927596.0,,36718.0,,,,,,
673,Marshall,IA,-92.982,42.036,2027.0,Open,72.0,44.0,140.0,60.0,1681930.0,1339317.0,55787.0,0.231404544,0.060605952,0.7380952380952381,6.14,4.0,2.1399999999999997
674,Polk,IA,-93.345265,41.600722,2057.0,Open,,268.1,,120.0,62610716.0,22071472.0,812478.0,,0.7385661696000001,,49.9,34.0,15.899999999999999
675,Dallas,IA,-94.162246,41.864805,,Open,,,,,1423137.0,,24900.0,,,,,,
677,Muscatine,IA,-90.843,41.5173,2032.0,Open,,58.7,,,2677419.0,2258035.0,40700.0,,,,10.3,9.0,1.3000000000000007
678,Jasper,IA,-93.0655,41.671,2107.0,Open,,,,,,840000.0,25773.0,,,,,84.0,
679,Webster,IA,-94.169712,42.47227,2027.0,Open,,,,,3376362.0,2804499.0,86015.0,,,,6.65,4.0,2.6500000000000004
680,Palo Alto,IA,-94.75247,43.21016,,Open,,,,,2021708.0,,34868.0,,,,,,
681,Sioux,IA,-95.894119,43.1299,2082.0,Open,160.0,,,,6420582.0,2468123.0,66055.0,,,,59.84,59.0,0.8400000000000034
683,Wapello,IA,-92.473,41.08,2058.0,Open,62.0,57.6,,,3290690.0,1658298.0,34327.0,,,,47.55,35.0,12.549999999999997
684,Page,IA,-95.110657,40.750904,,Open,35.0,,,,682115.0,,15014.0,,,,,,
686,Hardin,IA,-93.245378,42.40687,,Open,,,,,1998973.0,,28892.0,,,,,,
688,Scott,IA,-90.68864,41.47444,2053.0,Open,300.0,48.0,,,10900673.0,4997177.0,174759.0,,,,33.78,30.0,3.780000000000001
689,Keokuk,IA,-92.024355,41.181234,,Open,,,,,1678093.0,,24292.0,,,,,,
691,Madison,IA,-93.955,41.339,2027.0,Open,,,,,1593443.0,1270083.0,53379.0,,,,6.06,4.0,2.0599999999999996
692,Marion,IA,-92.95676,41.25995,2046.0,Open,200.0,70.0,,,2525338.0,1735571.0,130589.0,,,,6.05,23.0,-16.95
693,Dallas,IA,-94.040214,41.620605,,Open,,,,,1455486.0,,31489.0,,,,,,
694,Tama,IA,-92.568628,42.027799,,Open,,,,,837900.0,,11939.0,,,,,,
696,Decatur,IA,-93.962667,40.733385,,Open,,,,,1048950.0,,9777.0,,,,,,
697,Winneshiek,IA,-91.67,43.225,2045.0,Open,,62.6,,40.0,2346278.0,1874340.0,24544.0,,0.0574838272,,19.23,22.0,-2.7699999999999996
698,Ada,ID,-116.283,43.698,2100.0,Open,150.0,135.0,,,51609362.0,16233539.0,440233.0,,,,80.36,77.0,3.3599999999999994
700,Bear Lake,ID,-111.2479,42.3213,2042.0,Open,400.0,,,,,,6500.0,,,,,19.0,
701,Elmore,ID,-115.576,43.078,2070.0,Open,800.0,,,,,,4420.0,,,,,47.0,
705,Bonneville,ID,-111.8572,43.4288,,Open,320.0,,,,,,52000.0,,,,,,
706,Boundary,ID,-116.317134,48.718577,,Open,40.0,,,,,,3731.0,,,,,,
707,Butte,ID,-113.015,43.7885,,Open,60.0,,,,,,3250.0,,,,,,
708,Butte,ID,,,,Open,,,,,,,3250.0,,,,,,
709,Jefferson,ID,-112.539,43.851,2050.0,Open,,20.0,,,1394090.0,548967.0,23400.0,,,,36.12,27.0,9.119999999999997
710,Payette,ID,-116.861139,44.064474,2085.0,Open,20.0,,,,,977483.0,79917.0,,,,,62.0,
711,Kootenai,ID,-116.934,47.534,2040.0,Open,400.0,35.0,,,,3763461.0,211460.0,,,,,17.0,
712,Bannock,ID,-112.375,42.782,2060.0,Open,,84.0,60.0,,4262089.0,3755517.0,119722.0,,,,4.23,37.0,-32.769999999999996
715,Elmore,ID,,,2050.0,Open,20.0,,,,,,2860.0,,,,,27.0,
716,Adams,ID,-116.486,44.635,,Open,,,,,,,3250.0,,,,,,
717,Twin Falls,ID,-114.4991,42.4182,,Open,127.0,,,,,,52000.0,,,,,,
718,Fremont,ID,-111.3705,44.4505,,Open,20.0,13.0,25.0,15.0,75000.0,50000.0,1560.0,0.0114784,0.004476576,0.61,16.03,,
720,Lemhi,ID,-113.861523,45.118893,,Open,40.0,,,,,,9100.0,,,,,,
722,Cassia,ID,-114.005,42.462,2060.0,Open,245.0,90.0,,,17462989.0,5046297.0,279435.0,,,,44.43,37.0,7.43
725,Canyon,ID,-116.704,43.493,2035.0,Open,,55.0,,,9506240.0,6074675.0,347288.0,,,,9.88,12.0,-2.119999999999999
726,Elmore,ID,-115.902837,43.256283,2300.0,Open,810.0,30.6,,,38945263.0,2734582.0,159474.0,,,,227.06,277.0,-49.94
727,Fremont,ID,-111.6779,43.9808,,Open,25.0,18.0,30.0,25.0,100000.0,75000.0,4380.0,0.0172176,0.01033056,0.3999999999999999,5.71,,
738,Vermilion,IL,-87.6163,40.09966,2043.0,Open,152.0,127.0,60.0,,14619020.0,11499994.0,201730.0,0.209366016,,,15.46,20.0,-4.539999999999999
742,De Witt,IL,-88.958,40.114,2060.0,Open,,110.7,,,31481987.0,9460052.0,413716.0,,,,53.23,37.0,16.229999999999997
745,St. Clair,IL,-89.78,38.26,2085.0,Open,203.0,63.6,,120.0,31564482.0,8512831.0,299404.0,,0.1752062976,,76.99,62.0,14.989999999999995
746,Lake,IL,-88.0289,42.32424,2026.0,Open,153.0,134.0,,,18796217.0,16947375.0,457551.0,,,,4.04,3.0,1.04
748,DeKalb,IL,-88.686,41.898,2062.0,Open,88.0,88.0,,50.0,29068709.0,7301105.0,579985.0,,0.10100992,,37.53,39.0,-1.4699999999999989
750,Henry,IL,-90.003647,41.407503,2034.0,Open,,73.2,,,15496671.0,3097270.0,1085212.0,,,,11.43,11.0,0.4299999999999997
751,McDonough,IL,-90.638,40.484333,2171.0,Open,,70.9,,,10608131.0,4446233.0,41794.0,,,,147.43,148.0,-0.5699999999999932
754,Christian,IL,-89.29487,39.54693,2057.0,Open,,103.1,,,17354770.0,13560840.0,156777.0,,,,24.2,34.0,-9.8
759,Pike,IL,-90.914,39.698,2065.0,Open,69.0,41.8,,,12076546.0,4148663.0,201109.0,,,,39.42,42.0,-2.5799999999999983
760,Vermilion,IL,-87.63883,40.445375,2198.0,Open,121.0,31.0,,,11616555.0,2596391.0,65659.0,,,,137.38,175.0,-37.620000000000005
